page,会社名,勤務地
2,株式会社ケイケンシス,【本社】 長野県長野
2,アラインテック株式会,【UIターン歓迎／マ
2,アラインテック株式会,【UIターン歓迎／マ
2,日本綜合建設株式会社,長野本社または松本支
2,日本綜合建設株式会社,長野本社 ◎リモート
2,株式会社アンドー |,本社または各支店 【
2,株式会社小山産業 |,＼ 転勤なし ／ 【
2,株式会社イチネン |,◆大阪本社 大阪市淀
2,株式会社 シン技術コ,本社／札幌市白石区栄
2,税理士法人三澤会計 ,長野県諏訪市高島3-
2,株式会社BBSアウト,《転勤なし／U・Iタ
2,株式会社BBSアウト,《転勤なし／U・Iタ
2,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
2,株式会社BBSアウト,《転勤なし／駅近オフ
2,ニチアスセラテック株,【U・Iターン歓迎！
2,日本ニューホランド株,【全国の各営業所】 
2,諏訪金属株式会社 |,【本店】 長野県諏訪
2,株式会社デイリーはや,【新潟越路工場】 新
2,損害保険ジャパン株式,◇転居を伴う転勤なし
2,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
2,大和ライフネクスト株,【希望エリアを最大限
2,株式会社 一迅社 |,・本社勤務：新宿区 
2,中部フーズ株式会社 ,■東海三県募集！勤務
2,中部フーズ株式会社 ,・岐阜県多治見市高根
2,株式会社創和設計 |,【本社】 長野県上伊
2,中部フーズ株式会社 ,■東海三県募集！勤務
2,塩尻市役所,市役所本庁舎、支所 
2,有限会社タバタ産業 ,【転勤なし◎】長野市
2,長野県警察 | 20,長野県警察本部、長野
2,ヴェオリア・ジェネッ,【マイカー通勤OK◎
2,株式会社ヒルストンキ,【北信】 長野市、須
2,株式会社小松電気設備,【本社】 長野県塩尻
2,マーベルキャリアコン,長野県内各地 ＊人材
2,新日本設計株式会社 ,◆名古屋駅からも徒歩
2,アスリートFA株式会,【本社】 長野県諏訪
2,新日本設計株式会社 ,◆名古屋駅からも徒歩
2,降幡自動車株式会社 ,【本社】 長野県松本
2,株式会社ユリーカ |,【本社】 長野県塩尻
2,佐田建設株式会社 |,東北営業所／宮城県仙
2,株式会社オサカベ自動,【転勤なし／U・Iタ
2,株式会社サテライトネ,★埼玉・東京・新潟・
2,ニッパツ・メック株式,【車通勤OK】【転勤
2,美保テクノス株式会社,【 転勤ナシ／車通勤
2,専門学校 岡山情報ビ,【 転勤なし／JR岡
2,専門学校 岡山情報ビ,【 転勤なし／JR岡
4,スター精密株式会社 ,☆「菊川駅」より工場
4,サンコーコンサルタン,【名古屋支店】 愛知
4,社会福祉法人　信濃の,◆生活介護事業所　ぴ
4,日本綜合建設株式会社,長野本社または松本支
4,アラインテック株式会,【UIターン歓迎／マ
4,株式会社ケイケンシス,【本社】 長野県長野
4,アラインテック株式会,【UIターン歓迎／マ
4,アラインテック株式会,【UIターン歓迎／マ
4,日本綜合建設株式会社,長野本社または松本支
4,日本綜合建設株式会社,長野本社 ◎リモート
4,株式会社アンドー |,本社または各支店 【
4,株式会社小山産業 |,＼ 転勤なし ／ 【
4,株式会社イチネン |,◆大阪本社 大阪市淀
4,株式会社 シン技術コ,本社／札幌市白石区栄
4,税理士法人三澤会計 ,長野県諏訪市高島3-
4,株式会社BBSアウト,《転勤なし／U・Iタ
4,株式会社BBSアウト,《転勤なし／U・Iタ
4,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
4,株式会社BBSアウト,《転勤なし／駅近オフ
4,ニチアスセラテック株,【U・Iターン歓迎！
4,日本ニューホランド株,【全国の各営業所】 
4,諏訪金属株式会社 |,【本店】 長野県諏訪
4,株式会社デイリーはや,【新潟越路工場】 新
4,損害保険ジャパン株式,◇転居を伴う転勤なし
4,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
4,大和ライフネクスト株,【希望エリアを最大限
4,株式会社 一迅社 |,・本社勤務：新宿区 
4,中部フーズ株式会社 ,■東海三県募集！勤務
4,中部フーズ株式会社 ,・岐阜県多治見市高根
4,株式会社創和設計 |,【本社】 長野県上伊
4,中部フーズ株式会社 ,■東海三県募集！勤務
4,塩尻市役所,市役所本庁舎、支所 
4,有限会社タバタ産業 ,【転勤なし◎】長野市
4,長野県警察 | 20,長野県警察本部、長野
4,ヴェオリア・ジェネッ,【マイカー通勤OK◎
4,株式会社ヒルストンキ,【北信】 長野市、須
4,株式会社小松電気設備,【本社】 長野県塩尻
4,マーベルキャリアコン,長野県内各地 ＊人材
4,新日本設計株式会社 ,◆名古屋駅からも徒歩
4,アスリートFA株式会,【本社】 長野県諏訪
4,新日本設計株式会社 ,◆名古屋駅からも徒歩
4,降幡自動車株式会社 ,【本社】 長野県松本
4,株式会社ユリーカ |,【本社】 長野県塩尻
4,佐田建設株式会社 |,東北営業所／宮城県仙
4,株式会社オサカベ自動,【転勤なし／U・Iタ
4,株式会社サテライトネ,★埼玉・東京・新潟・
4,ニッパツ・メック株式,【車通勤OK】【転勤
4,美保テクノス株式会社,【 転勤ナシ／車通勤
4,専門学校 岡山情報ビ,【 転勤なし／JR岡
4,専門学校 岡山情報ビ,【 転勤なし／JR岡
6,スター精密株式会社 ,☆「菊川駅」より工場
6,サンコーコンサルタン,【名古屋支店】 愛知
6,社会福祉法人　信濃の,◆生活介護事業所　ぴ
6,日本綜合建設株式会社,長野本社または松本支
6,アラインテック株式会,【UIターン歓迎／マ
6,株式会社ケイケンシス,【本社】 長野県長野
6,アラインテック株式会,【UIターン歓迎／マ
6,アラインテック株式会,【UIターン歓迎／マ
6,日本綜合建設株式会社,長野本社または松本支
6,日本綜合建設株式会社,長野本社 ◎リモート
6,株式会社アンドー |,本社または各支店 【
6,株式会社小山産業 |,＼ 転勤なし ／ 【
6,株式会社イチネン |,◆大阪本社 大阪市淀
6,株式会社 シン技術コ,本社／札幌市白石区栄
6,税理士法人三澤会計 ,長野県諏訪市高島3-
6,株式会社BBSアウト,《転勤なし／U・Iタ
6,株式会社BBSアウト,《転勤なし／U・Iタ
6,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
6,株式会社BBSアウト,《転勤なし／駅近オフ
6,ニチアスセラテック株,【U・Iターン歓迎！
6,日本ニューホランド株,【全国の各営業所】 
6,諏訪金属株式会社 |,【本店】 長野県諏訪
6,株式会社デイリーはや,【新潟越路工場】 新
6,損害保険ジャパン株式,◇転居を伴う転勤なし
6,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
6,大和ライフネクスト株,【希望エリアを最大限
6,株式会社 一迅社 |,・本社勤務：新宿区 
6,中部フーズ株式会社 ,■東海三県募集！勤務
6,中部フーズ株式会社 ,・岐阜県多治見市高根
6,株式会社創和設計 |,【本社】 長野県上伊
6,中部フーズ株式会社 ,■東海三県募集！勤務
6,塩尻市役所,市役所本庁舎、支所 
6,有限会社タバタ産業 ,【転勤なし◎】長野市
6,長野県警察 | 20,長野県警察本部、長野
6,ヴェオリア・ジェネッ,【マイカー通勤OK◎
6,株式会社ヒルストンキ,【北信】 長野市、須
6,株式会社小松電気設備,【本社】 長野県塩尻
6,マーベルキャリアコン,長野県内各地 ＊人材
6,新日本設計株式会社 ,◆名古屋駅からも徒歩
6,アスリートFA株式会,【本社】 長野県諏訪
6,新日本設計株式会社 ,◆名古屋駅からも徒歩
6,降幡自動車株式会社 ,【本社】 長野県松本
6,株式会社ユリーカ |,【本社】 長野県塩尻
6,佐田建設株式会社 |,東北営業所／宮城県仙
6,株式会社オサカベ自動,【転勤なし／U・Iタ
6,株式会社サテライトネ,★埼玉・東京・新潟・
6,ニッパツ・メック株式,【車通勤OK】【転勤
6,美保テクノス株式会社,【 転勤ナシ／車通勤
6,専門学校 岡山情報ビ,【 転勤なし／JR岡
6,専門学校 岡山情報ビ,【 転勤なし／JR岡
8,スター精密株式会社 ,☆「菊川駅」より工場
8,サンコーコンサルタン,【名古屋支店】 愛知
8,社会福祉法人　信濃の,◆生活介護事業所　ぴ
8,日本綜合建設株式会社,長野本社または松本支
8,アラインテック株式会,【UIターン歓迎／マ
8,株式会社ケイケンシス,【本社】 長野県長野
8,アラインテック株式会,【UIターン歓迎／マ
8,アラインテック株式会,【UIターン歓迎／マ
8,日本綜合建設株式会社,長野本社または松本支
8,日本綜合建設株式会社,長野本社 ◎リモート
8,株式会社アンドー |,本社または各支店 【
8,株式会社小山産業 |,＼ 転勤なし ／ 【
8,株式会社イチネン |,◆大阪本社 大阪市淀
8,株式会社 シン技術コ,本社／札幌市白石区栄
8,税理士法人三澤会計 ,長野県諏訪市高島3-
8,株式会社BBSアウト,《転勤なし／U・Iタ
8,株式会社BBSアウト,《転勤なし／U・Iタ
8,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
8,株式会社BBSアウト,《転勤なし／駅近オフ
8,ニチアスセラテック株,【U・Iターン歓迎！
8,日本ニューホランド株,【全国の各営業所】 
8,諏訪金属株式会社 |,【本店】 長野県諏訪
8,株式会社デイリーはや,【新潟越路工場】 新
8,損害保険ジャパン株式,◇転居を伴う転勤なし
8,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
8,大和ライフネクスト株,【希望エリアを最大限
8,株式会社 一迅社 |,・本社勤務：新宿区 
8,中部フーズ株式会社 ,■東海三県募集！勤務
8,中部フーズ株式会社 ,・岐阜県多治見市高根
8,株式会社創和設計 |,【本社】 長野県上伊
8,中部フーズ株式会社 ,■東海三県募集！勤務
8,塩尻市役所,市役所本庁舎、支所 
