,page,会社名,勤務地
393,6,佐田建設株式会社 |,東北営業所／宮城県仙
394,6,株式会社オサカベ自動,【転勤なし／U・Iタ
395,6,株式会社サテライトネ,★埼玉・東京・新潟・
396,6,ニッパツ・メック株式,【車通勤OK】【転勤
397,6,美保テクノス株式会社,【 転勤ナシ／車通勤
398,6,専門学校 岡山情報ビ,【 転勤なし／JR岡
399,6,専門学校 岡山情報ビ,【 転勤なし／JR岡
400,8,スター精密株式会社 ,☆「菊川駅」より工場
401,8,サンコーコンサルタン,【名古屋支店】 愛知
402,8,社会福祉法人　信濃の,◆生活介護事業所　ぴ
403,8,日本綜合建設株式会社,長野本社または松本支
404,8,アラインテック株式会,【UIターン歓迎／マ
405,8,株式会社ケイケンシス,【本社】 長野県長野
406,8,アラインテック株式会,【UIターン歓迎／マ
407,8,アラインテック株式会,【UIターン歓迎／マ
408,8,日本綜合建設株式会社,長野本社または松本支
409,8,日本綜合建設株式会社,長野本社 ◎リモート
410,8,株式会社アンドー |,本社または各支店 【
411,8,株式会社小山産業 |,＼ 転勤なし ／ 【
412,8,株式会社イチネン |,◆大阪本社 大阪市淀
413,8,株式会社 シン技術コ,本社／札幌市白石区栄
414,8,税理士法人三澤会計 ,長野県諏訪市高島3-
415,8,株式会社BBSアウト,《転勤なし／U・Iタ
416,8,株式会社BBSアウト,《転勤なし／U・Iタ
417,8,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
418,8,株式会社BBSアウト,《転勤なし／駅近オフ
419,8,ニチアスセラテック株,【U・Iターン歓迎！
420,8,日本ニューホランド株,【全国の各営業所】 
421,8,諏訪金属株式会社 |,【本店】 長野県諏訪
422,8,株式会社デイリーはや,【新潟越路工場】 新
423,8,損害保険ジャパン株式,◇転居を伴う転勤なし
424,8,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
425,8,大和ライフネクスト株,【希望エリアを最大限
426,8,株式会社 一迅社 |,・本社勤務：新宿区 
427,8,中部フーズ株式会社 ,■東海三県募集！勤務
428,8,中部フーズ株式会社 ,・岐阜県多治見市高根
429,8,株式会社創和設計 |,【本社】 長野県上伊
430,8,中部フーズ株式会社 ,■東海三県募集！勤務
431,8,塩尻市役所,市役所本庁舎、支所 
432,8,有限会社タバタ産業 ,【転勤なし◎】長野市
433,8,長野県警察 | 20,長野県警察本部、長野
434,8,ヴェオリア・ジェネッ,【マイカー通勤OK◎
435,8,株式会社ヒルストンキ,【北信】 長野市、須
436,8,株式会社小松電気設備,【本社】 長野県塩尻
437,8,マーベルキャリアコン,長野県内各地 ＊人材
438,8,新日本設計株式会社 ,◆名古屋駅からも徒歩
439,8,アスリートFA株式会,【本社】 長野県諏訪
440,8,新日本設計株式会社 ,◆名古屋駅からも徒歩
441,8,降幡自動車株式会社 ,【本社】 長野県松本
442,8,株式会社ユリーカ |,【本社】 長野県塩尻
443,8,佐田建設株式会社 |,東北営業所／宮城県仙
444,8,株式会社オサカベ自動,【転勤なし／U・Iタ
445,8,株式会社サテライトネ,★埼玉・東京・新潟・
446,8,ニッパツ・メック株式,【車通勤OK】【転勤
447,8,美保テクノス株式会社,【 転勤ナシ／車通勤
448,8,専門学校 岡山情報ビ,【 転勤なし／JR岡
449,8,専門学校 岡山情報ビ,【 転勤なし／JR岡
450,10,スター精密株式会社 ,☆「菊川駅」より工場
451,10,サンコーコンサルタン,【名古屋支店】 愛知
452,10,社会福祉法人　信濃の,◆生活介護事業所　ぴ
453,10,日本綜合建設株式会社,長野本社または松本支
454,10,アラインテック株式会,【UIターン歓迎／マ
455,10,株式会社ケイケンシス,【本社】 長野県長野
456,10,アラインテック株式会,【UIターン歓迎／マ
457,10,アラインテック株式会,【UIターン歓迎／マ
458,10,日本綜合建設株式会社,長野本社または松本支
459,10,日本綜合建設株式会社,長野本社 ◎リモート
460,10,株式会社アンドー |,本社または各支店 【
461,10,株式会社小山産業 |,＼ 転勤なし ／ 【
462,10,株式会社イチネン |,◆大阪本社 大阪市淀
463,10,株式会社 シン技術コ,本社／札幌市白石区栄
464,10,税理士法人三澤会計 ,長野県諏訪市高島3-
465,10,株式会社BBSアウト,《転勤なし／U・Iタ
466,10,株式会社BBSアウト,《転勤なし／U・Iタ
467,10,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
468,10,株式会社BBSアウト,《転勤なし／駅近オフ
469,10,ニチアスセラテック株,【U・Iターン歓迎！
470,10,日本ニューホランド株,【全国の各営業所】 
471,10,諏訪金属株式会社 |,【本店】 長野県諏訪
472,10,株式会社デイリーはや,【新潟越路工場】 新
473,10,損害保険ジャパン株式,◇転居を伴う転勤なし
